Freq: 650, Voltage: 0.6000000000000001, Output: Invalid, Power: 0.018285202306964288
Freq: 650, Voltage: 0.65, Output: Invalid, Power: 0.026492233043571428
Freq: 650, Voltage: 0.7, Output: Invalid, Power: 0.03765725855214286
Freq: 650, Voltage: 0.75, Output: Invalid, Power: 0.05038070007789286
Freq: 650, Voltage: 0.8, Output: Valid, Power: 0.059290463364
Freq: 650, Voltage: 0.8500000000000001, Output: Valid, Power: 0.067632201021
Freq: 650, Voltage: 0.9000000000000001, Output: Valid, Power: 0.076725187074
Freq: 650, Voltage: 0.9500000000000002, Output: Valid, Power: 0.08630911432550001
Freq: 650, Voltage: 1.0000000000000002, Output: Valid, Power: 0.09655117664075001
Freq: 650, Voltage: 1.0500000000000003, Output: Valid, Power: 0.107449598807
Freq: 650, Voltage: 1.1000000000000003, Output: Valid, Power: 0.11982046366400001
Freq: 650, Voltage: 1.1500000000000004, Output: Valid, Power: 0.13326768995125
Freq: 650, Voltage: 1.2000000000000004, Output: Valid, Power: 0.1472508504725
Freq: 650, Voltage: 1.25, Output: Valid, Power: 0.162711560384
Freq: 650, Voltage: 1.3, Output: Valid, Power: 0.1792161049965
Freq: 650, Voltage: 1.35, Output: Valid, Power: 0.19787807689525
Freq: 700, Voltage: 0.55, Output: Invalid, Power: 0.011645693951785715
Freq: 700, Voltage: 0.6000000000000001, Output: Invalid, Power: 0.018298645112857143
Freq: 700, Voltage: 0.65, Output: Invalid, Power: 0.026492233043571428
Freq: 700, Voltage: 0.7, Output: Invalid, Power: 0.03765725855214286
Freq: 700, Voltage: 0.75, Output: Invalid, Power: 0.05038070007789286
Freq: 700, Voltage: 0.8, Output: Invalid, Power: 0.0656423271192857
Freq: 700, Voltage: 0.8500000000000001, Output: Valid, Power: 0.072153145098
Freq: 700, Voltage: 0.9000000000000001, Output: Valid, Power: 0.081762228716
Freq: 700, Voltage: 0.9500000000000002, Output: Valid, Power: 0.09207561681025
Freq: 700, Voltage: 1.0000000000000002, Output: Valid, Power: 0.1028666269515
Freq: 700, Voltage: 1.0500000000000003, Output: Valid, Power: 0.11473718410275
Freq: 700, Voltage: 1.1000000000000003, Output: Valid, Power: 0.1279347735945
Freq: 700, Voltage: 1.1500000000000004, Output: Valid, Power: 0.14205487279325002
Freq: 700, Voltage: 1.2000000000000004, Output: Valid, Power: 0.15717216354675
Freq: 700, Voltage: 1.25, Output: Valid, Power: 0.17344693906550002
Freq: 700, Voltage: 1.3, Output: Valid, Power: 0.1910177292195
Freq: 700, Voltage: 1.35, Output: Valid, Power: 0.2107599880045
Freq: 750, Voltage: 0.55, Output: Invalid, Power: 0.011646970342857142
Freq: 750, Voltage: 0.6000000000000001, Output: Invalid, Power: 0.018322319935178574
Freq: 750, Voltage: 0.65, Output: Invalid, Power: 0.026492233043571428
Freq: 750, Voltage: 0.7, Output: Invalid, Power: 0.03765725855214286
Freq: 750, Voltage: 0.75, Output: Invalid, Power: 0.05038070007789286
Freq: 750, Voltage: 0.8, Output: Invalid, Power: 0.0656423271192857
Freq: 750, Voltage: 0.8500000000000001, Output: Valid, Power: 0.07660415356275
Freq: 750, Voltage: 0.9000000000000001, Output: Valid, Power: 0.08690101058600001
Freq: 750, Voltage: 0.9500000000000002, Output: Valid, Power: 0.09777962845675
Freq: 750, Voltage: 1.0000000000000002, Output: Valid, Power: 0.10942570071675001
Freq: 750, Voltage: 1.0500000000000003, Output: Valid, Power: 0.12193902076075
Freq: 750, Voltage: 1.1000000000000003, Output: Valid, Power: 0.13582612489600002
Freq: 750, Voltage: 1.1500000000000004, Output: Valid, Power: 0.15094291827474998
Freq: 750, Voltage: 1.2000000000000004, Output: Valid, Power: 0.164688916922
Freq: 750, Voltage: 1.25, Output: Valid, Power: 0.18419894796800002
Freq: 750, Voltage: 1.3, Output: Valid, Power: 0.202773683695
Freq: 750, Voltage: 1.35, Output: Valid, Power: 0.22370839641450002
Freq: 800, Voltage: 0.55, Output: Invalid, Power: 0.011629100867857142
Freq: 800, Voltage: 0.6000000000000001, Output: Invalid, Power: 0.018319534661964287
Freq: 800, Voltage: 0.65, Output: Invalid, Power: 0.026492233043571428
Freq: 800, Voltage: 0.7, Output: Invalid, Power: 0.03765725855214286
Freq: 800, Voltage: 0.75, Output: Invalid, Power: 0.05038070007789286
Freq: 800, Voltage: 0.8, Output: Invalid, Power: 0.0656423271192857
Freq: 800, Voltage: 0.8500000000000001, Output: Invalid, Power: 0.08361138001810713
Freq: 800, Voltage: 0.9000000000000001, Output: Valid, Power: 0.09192319635400001
Freq: 800, Voltage: 0.9500000000000002, Output: Valid, Power: 0.1034529887035
Freq: 800, Voltage: 1.0000000000000002, Output: Valid, Power: 0.11587071668400001
Freq: 800, Voltage: 1.0500000000000003, Output: Valid, Power: 0.1290724158455
Freq: 800, Voltage: 1.1000000000000003, Output: Valid, Power: 0.14380175555900002
Freq: 800, Voltage: 1.1500000000000004, Output: Valid, Power: 0.15978100920299998
Freq: 800, Voltage: 1.2000000000000004, Output: Valid, Power: 0.1765946355985
Freq: 800, Voltage: 1.25, Output: Valid, Power: 0.194963423808
Freq: 800, Voltage: 1.3, Output: Valid, Power: 0.214499493032
Freq: 800, Voltage: 1.35, Output: Valid, Power: 0.23647992875549997
Freq: 850, Voltage: 0.55, Output: Invalid, Power: 0.011639311996428573
Freq: 850, Voltage: 0.6000000000000001, Output: Invalid, Power: 0.01828750402
Freq: 850, Voltage: 0.65, Output: Invalid, Power: 0.026492233043571428
Freq: 850, Voltage: 0.7, Output: Invalid, Power: 0.03765725855214286
Freq: 850, Voltage: 0.75, Output: Invalid, Power: 0.05038070007789286
Freq: 850, Voltage: 0.8, Output: Invalid, Power: 0.0656423271192857
Freq: 850, Voltage: 0.8500000000000001, Output: Invalid, Power: 0.08361138001810713
Freq: 850, Voltage: 0.9000000000000001, Output: Valid, Power: 0.097003905262
Freq: 850, Voltage: 0.9500000000000002, Output: Valid, Power: 0.10914155584624999
Freq: 850, Voltage: 1.0000000000000002, Output: Valid, Power: 0.12220192498000002
Freq: 850, Voltage: 1.0500000000000003, Output: Valid, Power: 0.136034575883
Freq: 850, Voltage: 1.1000000000000003, Output: Valid, Power: 0.15169865954450001
Freq: 850, Voltage: 1.1500000000000004, Output: Valid, Power: 0.16847561705999997
Freq: 850, Voltage: 1.2000000000000004, Output: Valid, Power: 0.1862340096405
Freq: 850, Voltage: 1.25, Output: Valid, Power: 0.205564768384
Freq: 850, Voltage: 1.3, Output: Valid, Power: 0.225885970266
Freq: 850, Voltage: 1.35, Output: Valid, Power: 0.24900943792575
Freq: 900, Voltage: 0.55, Output: Invalid, Power: 0.011662287035714286
Freq: 900, Voltage: 0.6000000000000001, Output: Invalid, Power: 0.01829725247625
Freq: 900, Voltage: 0.65, Output: Invalid, Power: 0.026492233043571428
Freq: 900, Voltage: 0.7, Output: Invalid, Power: 0.03765725855214286
Freq: 900, Voltage: 0.75, Output: Invalid, Power: 0.05038070007789286
Freq: 900, Voltage: 0.8, Output: Invalid, Power: 0.0656423271192857
Freq: 900, Voltage: 0.8500000000000001, Output: Invalid, Power: 0.08361138001810713
Freq: 900, Voltage: 0.9000000000000001, Output: Invalid, Power: 0.10504459883114285
Freq: 900, Voltage: 0.9500000000000002, Output: Valid, Power: 0.11476858258175
Freq: 900, Voltage: 1.0000000000000002, Output: Valid, Power: 0.12851687503725
Freq: 900, Voltage: 1.0500000000000003, Output: Valid, Power: 0.143151450588
Freq: 900, Voltage: 1.1000000000000003, Output: Valid, Power: 0.15951477288675
Freq: 900, Voltage: 1.1500000000000004, Output: Valid, Power: 0.17714662189799998
Freq: 900, Voltage: 1.2000000000000004, Output: Valid, Power: 0.195637068101
Freq: 900, Voltage: 1.25, Output: Valid, Power: 0.21594708247000002
Freq: 900, Voltage: 1.3, Output: Valid, Power: 0.23727677745325
Freq: 900, Voltage: 1.35, Output: Valid, Power: 0.261605106847
Freq: 950, Voltage: 0.55, Output: Invalid, Power: 0.011655905080357144
Freq: 950, Voltage: 0.6000000000000001, Output: Invalid, Power: 0.01831117884232143
Freq: 950, Voltage: 0.65, Output: Invalid, Power: 0.026492233043571428
Freq: 950, Voltage: 0.7, Output: Invalid, Power: 0.03765725855214286
Freq: 950, Voltage: 0.75, Output: Invalid, Power: 0.05038070007789286
Freq: 950, Voltage: 0.8, Output: Invalid, Power: 0.0656423271192857
Freq: 950, Voltage: 0.8500000000000001, Output: Invalid, Power: 0.08361138001810713
Freq: 950, Voltage: 0.9000000000000001, Output: Invalid, Power: 0.10504459883114285
Freq: 950, Voltage: 0.9500000000000002, Output: Valid, Power: 0.12034856298275
Freq: 950, Voltage: 1.0000000000000002, Output: Valid, Power: 0.134864341572
Freq: 950, Voltage: 1.0500000000000003, Output: Valid, Power: 0.15014796252625
Freq: 950, Voltage: 1.1000000000000003, Output: Valid, Power: 0.16729894324
Freq: 950, Voltage: 1.1500000000000004, Output: Valid, Power: 0.18581009421224998
Freq: 950, Voltage: 1.2000000000000004, Output: Valid, Power: 0.205166246696
Freq: 950, Voltage: 1.25, Output: Valid, Power: 0.2264872096105
Freq: 950, Voltage: 1.3, Output: Valid, Power: 0.24874310769824998
Freq: 950, Voltage: 1.35, Output: Valid, Power: 0.27406845626625
Freq: 1000, Voltage: 0.55, Output: Invalid, Power: 0.011657220745
Freq: 1000, Voltage: 0.6000000000000001, Output: Invalid, Power: 0.018313964115535715
Freq: 1000, Voltage: 0.65, Output: Invalid, Power: 0.026492233043571428
Freq: 1000, Voltage: 0.7, Output: Invalid, Power: 0.03765725855214286
Freq: 1000, Voltage: 0.75, Output: Invalid, Power: 0.05038070007789286
Freq: 1000, Voltage: 0.8, Output: Invalid, Power: 0.0656423271192857
Freq: 1000, Voltage: 0.8500000000000001, Output: Invalid, Power: 0.08361138001810713
Freq: 1000, Voltage: 0.9000000000000001, Output: Invalid, Power: 0.10504459883114285
Freq: 1000, Voltage: 0.9500000000000002, Output: Invalid, Power: 0.12863255352271427
Freq: 1000, Voltage: 1.0000000000000002, Output: Valid, Power: 0.14113026678625
Freq: 1000, Voltage: 1.0500000000000003, Output: Valid, Power: 0.15705898805500002
Freq: 1000, Voltage: 1.1000000000000003, Output: Valid, Power: 0.174665734551
Freq: 1000, Voltage: 1.1500000000000004, Output: Valid, Power: 0.19442926030875
Freq: 1000, Voltage: 1.2000000000000004, Output: Valid, Power: 0.21449607779824997
Freq: 1000, Voltage: 1.25, Output: Valid, Power: 0.23694034816
Freq: 1000, Voltage: 1.3, Output: Valid, Power: 0.26017216396049997
Freq: 1000, Voltage: 1.35, Output: Valid, Power: 0.28664184690399996
Freq: 1050, Voltage: 0.55, Output: Invalid, Power: 0.004806235851875
Freq: 1050, Voltage: 0.6000000000000001, Output: Invalid, Power: 0.007435886750535714
Freq: 1050, Voltage: 0.6500000000000001, Output: Invalid, Power: 0.006473013982105263
Freq: 1050, Voltage: 0.7000000000000002, Output: Invalid, Power: 0.00963910729892857
Freq: 1050, Voltage: 0.7500000000000002, Output: Invalid, Power: 0.04306502071
Freq: 1050, Voltage: 0.8000000000000003, Output: Invalid, Power: 0.07683032157192857
