Suite Name	Test Name	Test ID	Voltage	Frequency	Status	Context	Host Payload	Compare Check Data
conv-bmark	Conv Accelerator FP16 Convolution	2	0.75	650000000	PASS	{'seed': b'\x01\xf8\xff\xd1'}	01f8ffd1	342208400 cycles
conv-bmark	Conv Accelerator FP16 Convolution	2	0.75	700000000	FAIL_NO_BEL	{'seed': b'\\\x9d\xdc\xf2'}	5c9ddcf2	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.75	750000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.75	800000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.75	850000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.75	900000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.75	950000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.75	1000000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.75	1050000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.75	1100000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.75	1150000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.75	1200000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.75	1250000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.75	1300000000	SKIP_MAX_FREQ_FAIL	None	None	None
conv-bmark	Conv Accelerator FP16 Convolution	2	0.80	50000000	PASS	{'seed': b'\x92\x03UW'}	92035557	340699964 cycles
conv-bmark	Conv Accelerator FP16 Convolution	2	0.80	100000000	PASS	{'seed': b'\x91\x14\xda\x82'}	9114da82	340760708 cycles
conv-bmark	Conv Accelerator FP16 Convolution	2	0.80	150000000	PASS	{'seed': b'\xd9\xc8\x10\xc8'}	d9c810c8	340856226 cycles
conv-bmark	Conv Accelerator FP16 Convolution	2	0.80	200000000	PASS	{'seed': b'\xe6u7\xda'}	e67537da	340967221 cycles
conv-bmark	Conv Accelerator FP16 Convolution	2	0.80	250000000	PASS	{'seed': b'\x19\xb1[\xfd'}	19b15bfd	341091107 cycles
conv-bmark	Conv Accelerator FP16 Convolution	2	0.80	300000000	PASS	{'seed': b'4\xbc@\x90'}	34bc4090	341223488 cycles
conv-bmark	Conv Accelerator FP16 Convolution	2	0.80	350000000	PASS	{'seed': b'\t~\x80\x07'}	097e8007	341357662 cycles
conv-bmark	Conv Accelerator FP16 Convolution	2	0.80	400000000	PASS	{'seed': b'\xf6:\x01\xc3'}	f63a01c3	341498697 cycles
conv-bmark	Conv Accelerator FP16 Convolution	2	0.80	450000000	PASS	{'seed': b'\xee;\xf4\xa1'}	ee3bf4a1	341635957 cycles
conv-bmark	Conv Accelerator FP16 Convolution	2	0.80	500000000	PASS	{'seed': b'\xe5\x12\xeb\xa6'}	e512eba6	341780191 cycles
conv-bmark	Conv Accelerator FP16 Convolution	2	0.80	550000000	PASS	{'seed': b'\xc4\x1e8\x12'}	c41e3812	341923502 cycles
conv-bmark	Conv Accelerator FP16 Convolution	2	0.80	600000000	PASS	{'seed': b'\x84:N\x0c'}	843a4e0c	342065547 cycles
conv-bmark	Conv Accelerator FP16 Convolution	2	0.80	650000000	PASS	{'seed': b'\xaf\xe2Ps'}	afe25073	342208595 cycles
conv-bmark	Conv Accelerator FP16 Convolution	2	0.80	700000000	PASS	{'seed': b'\xae:\x13\xb4'}	ae3a13b4	342351789 cycles
conv-bmark	Conv Accelerator FP16 Convolution	2	0.80	750000000	PASS	{'seed': b'.\xd0j\xff'}	2ed06aff	342496559 cycles
